time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,inversion_index,dwd_temperature_obs,surface_temp_bias_K,inversion_index_corrected,surface_correction_used
2026-08-16 00:00:00+02:00,16.4,1016.4,1.91,354,100,16.1,142.0,6.52,356,14.3,357.0,8.0,356,12.4,576.0,7.87,356,12.6,801.37,7.46,334,12.7,1031.81,8.21,312,13.0,1509.0,12.07,285,0.08874295602786497,933.0,0.5999999999999996,42.0,1.1376954193844189,,,1.1376954193844189,False
2026-08-16 01:00:00+02:00,15.7,1016.9,1.3,360,15,16.2,147.0,4.84,353,14.3,362.0,6.17,352,12.3,581.0,7.33,356,12.2,805.43,7.22,338,12.2,1034.9,7.79,321,12.1,1510.0,10.42,297,1.1111111111111112,45.0,0.5,47.0,2.2920370370370375,,,2.2920370370370375,False
2026-08-16 02:00:00+02:00,15.4,1017.0,1.22,9,63,16.0,147.0,4.5,357,14.1,362.0,4.62,351,12.3,581.0,4.51,348,12.4,805.2,5.16,324,12.5,1034.42,6.42,308,12.7,1509.0,9.78,291,1.3333333333333326,973.0,0.9999999999999982,47.0,3.569444444444443,,,3.569444444444443,False
2026-08-16 03:00:00+02:00,15.0,1016.5,1.17,340,54,16.1,144.0,4.07,335,14.1,358.0,4.72,341,12.2,577.0,5.09,347,12.2,800.97,5.24,328,12.1,1029.94,5.89,312,12.1,1504.0,8.13,291,2.6190476190476226,42.0,1.1000000000000014,44.0,3.225500000000001,,,3.225500000000001,False
2026-08-16 04:00:00+02:00,15.1,1016.1,0.54,22,83,16.2,141.0,2.15,338,14.5,355.0,4.04,331,12.4,574.0,5.3,331,12.3,797.96,5.57,315,12.2,1026.95,6.23,301,11.9,1501.0,8.29,282,2.8205128205128194,39.0,1.0999999999999996,41.0,3.2210000000000005,,,3.2210000000000005,False
2026-08-16 05:00:00+02:00,14.7,1016.5,1.14,52,59,15.7,143.0,2.72,6,14.2,358.0,4.1,344,12.1,576.0,4.42,334,12.0,799.5,5.34,319,11.8,1027.99,6.52,309,11.6,1501.0,9.23,297,2.4390243902439024,41.0,1.0,43.0,3.1864999999999997,,,3.1864999999999997,False
2026-08-16 06:00:00+02:00,14.6,1016.3,0.85,159,67,15.7,142.0,0.4,360,14.2,356.0,2.7,328,12.4,575.0,4.06,323,11.9,798.5,4.66,316,11.4,1026.99,5.29,312,10.4,1500.0,6.64,305,2.749999999999999,40.0,1.0999999999999996,42.0,3.2225,,,3.2225,False
2026-08-16 07:00:00+02:00,15.1,1016.4,1.22,215,53,15.5,142.0,1.2,265,13.9,357.0,2.8,321,12.1,575.0,3.96,317,11.2,798.27,4.35,314,10.4,1026.51,4.76,312,8.7,1499.0,5.6,308,1.0000000000000009,40.0,0.40000000000000036,42.0,2.0433333333333352,,,2.0433333333333352,False
2026-08-16 08:00:00+02:00,16.4,1016.2,2.14,259,61,15.6,141.0,4.5,270,13.8,355.0,3.01,274,12.3,574.0,2.63,305,11.2,797.26,3.29,305,10.1,1025.51,3.95,305,7.8,1498.0,5.27,305,0.0,0.0,0.0,41.0,0.0,,,0.0,False
2026-08-16 09:00:00+02:00,17.6,1016.3,2.61,274,24,15.8,142.0,3.83,277,14.3,357.0,3.85,297,12.5,576.0,3.22,296,11.1,799.26,3.69,304,9.6,1027.51,4.22,310,6.8,1500.0,5.38,319,0.0,0.0,0.0,42.0,0.0,,,0.0,False
