time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa
2026-08-24 00:00:00+02:00,15.3,1022.0,2.95,332,100,14.6,188.0,8.8,328,12.6,402.0,9.28,327,11.0,619.0,10.9,319,9.4,840.62,10.0,317,7.7,1067.16,9.11,315,4.3,1536.0,7.39,308
2026-08-24 01:00:00+02:00,14.9,1022.3,2.33,335,100,14.8,191.0,8.05,333,12.9,405.0,8.67,332,10.9,622.0,8.93,329,9.5,843.86,8.32,328,8.0,1070.64,7.72,327,5.1,1540.0,6.53,324
2026-08-24 02:00:00+02:00,15.4,1021.8,2.86,306,100,15.1,187.0,7.39,310,13.1,401.0,7.42,311,11.3,619.0,7.02,320,9.4,840.39,6.78,321,7.5,1066.69,6.53,321,3.7,1535.0,6.05,323
2026-08-24 03:00:00+02:00,15.2,1022.3,3.09,331,86,14.7,191.0,8.24,327,12.7,405.0,8.17,324,10.9,622.0,7.61,317,9.1,843.62,7.0,316,7.3,1070.16,6.4,315,3.7,1539.0,5.2,311
2026-08-24 04:00:00+02:00,14.5,1021.8,2.51,337,78,14.9,187.0,7.84,330,12.9,401.0,7.99,326,10.8,618.0,7.91,323,9.2,839.39,7.12,319,7.5,1065.68,6.38,314,4.2,1534.0,5.1,300
2026-08-24 05:00:00+02:00,13.6,1022.3,2.09,343,19,14.3,191.0,7.47,335,12.4,404.0,7.65,332,10.5,621.0,7.04,321,9.1,842.16,6.43,322,7.6,1068.21,5.83,323,4.7,1536.0,4.64,325
2026-08-24 06:00:00+02:00,13.4,1021.5,1.84,347,58,14.4,184.0,6.48,340,12.4,397.0,6.85,340,10.5,615.0,7.0,342,9.3,836.39,6.34,342,8.0,1062.69,5.68,343,5.6,1531.0,4.36,343
2026-08-24 07:00:00+02:00,13.1,1021.9,1.14,15,80,14.4,188.0,5.14,347,12.5,401.0,5.74,343,10.6,618.0,6.23,339,9.2,839.39,5.45,335,7.7,1065.68,4.69,331,4.8,1534.0,3.31,317
2026-08-24 08:00:00+02:00,13.8,1022.8,1.22,81,85,13.9,194.0,3.76,17,12.1,407.0,4.68,355,10.2,624.0,5.42,346,8.9,845.16,4.93,343,7.7,1071.21,4.45,339,5.2,1539.0,3.58,328
2026-08-24 09:00:00+02:00,14.8,1022.8,1.12,153,70,13.9,194.0,1.53,32,12.1,407.0,3.11,360,10.4,624.0,4.07,348,9.2,845.16,3.72,345,8.1,1071.21,3.38,341,5.8,1539.0,2.78,330
