time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,temperature_100m_agl,deltaT_100m_model_K,temperature_200m_agl,deltaT_200m_model_K,temperature_500m_agl,deltaT_500m_model_K,inversion_index,surface_temperature_obs,dwd_temperature_obs,surface_temperature_for_profile,surface_temperature_source,surface_temp_bias_K,deltaT_100m_surface_K,deltaT_200m_surface_K,deltaT_500m_surface_K,inversion_index_corrected,surface_correction_used,local_stratification_index,local_max_gradient_K_per_100m,local_positive_deltaT_K,local_inversion_depth_m,local_surface_measured,local_inverted_layer_count,local_strongest_layer,local_profile_top_m,local_profile_point_count
2026-09-12 00:00:00+02:00,15.3,1020.3,2.57,257,48,15.8,178.0,6.69,284,14.1,393.0,6.96,298,12.4,612.0,7.09,292,11.1,835.03,7.73,287,9.7,1063.03,8.42,283,7.0,1535.0,9.93,276,0.28835063437139563,173.4,0.5,175.4,15.582583621683968,0.2825836216839672,15.605488372093024,0.3054883720930235,13.249223744292237,-2.0507762557077633,0.976242829680892,,,15.3,model_2m,,0.2825836216839672,0.3054883720930235,-2.0507762557077633,0.976242829680892,False,2.3130778546712802,0.28835063437139563,0.5,173.4,False,1,Boden-1000hPa,390.4,3
2026-09-12 01:00:00+02:00,15.1,1021.1,2.63,261,46,15.6,184.0,6.89,283,13.9,399.0,7.14,294,12.0,617.0,7.07,296,10.7,840.26,7.6,295,9.4,1068.5,8.13,293,6.8,1541.0,9.22,291,0.2787068004459309,179.4,0.5,181.4,15.373132664437012,0.27313266443701245,15.45293023255814,0.3529302325581405,12.997064220183486,-2.102935779816514,0.9675624674842066,,,15.1,model_2m,,0.27313266443701245,0.3529302325581405,-2.102935779816514,0.9675624674842066,False,2.2896806020066887,0.2787068004459309,0.5,179.4,False,1,Boden-1000hPa,396.4,3
2026-09-12 02:00:00+02:00,14.8,1021.1,2.47,256,70,15.5,184.0,6.77,283,13.7,398.0,6.96,295,11.8,617.0,7.01,302,10.5,840.03,7.13,302,9.1,1068.03,7.25,301,6.5,1540.0,7.49,300,0.3901895206243028,179.4,0.6999999999999993,181.4,15.182385730211818,0.38238573021181743,15.343551401869158,0.5435514018691574,12.792511415525114,-2.0074885844748867,1.2469474544778882,15.200000000000001,15.200000000000001,15.200000000000001,measured,0.40000000000000036,-0.017614269788182924,0.14355140186915705,-2.407488584474887,1.0745639910813811,True,1.6130083612040096,0.16722408026755792,0.29999999999999893,179.4,True,1,Boden-1000hPa,395.4,3
2026-09-12 03:00:00+02:00,14.7,1021.1,2.45,258,44,15.5,183.0,6.26,283,13.7,398.0,6.35,298,11.9,616.0,6.65,304,10.6,839.03,6.94,302,9.3,1067.03,7.24,300,6.6,1539.0,7.87,296,0.448430493273543,178.4,0.8000000000000007,180.4,15.139461883408071,0.4394618834080717,15.335906976744186,0.6359069767441863,12.836330275229358,-1.8636697247706415,1.389722571001496,14.766666666666666,14.766666666666666,14.766666666666666,measured,0.06666666666666643,0.37279521674140526,0.5692403100775199,-1.930336391437308,1.3848429995017453,True,3.0861091180867,0.41106128550074794,0.7333333333333343,178.4,True,1,Boden-1000hPa,395.4,3
2026-09-12 04:00:00+02:00,14.5,1021.0,2.73,242,73,15.1,182.0,6.86,262,13.7,397.0,5.91,285,11.6,615.0,5.85,287,10.2,837.79,6.28,287,8.9,1065.55,6.71,287,6.3,1537.0,7.57,288,0.33821871476888365,177.4,0.5999999999999996,179.4,14.831454340473506,0.3314543404735062,14.965860465116279,0.465860465116279,12.68275229357798,-1.8172477064220196,1.1111676437429532,14.116666666666667,14.116666666666667,14.116666666666667,measured,-0.38333333333333286,0.714787673806839,0.8491937984496118,-1.4339143730886867,1.2952948108480513,True,3.701749999999999,0.5543028936490036,0.9833333333333325,177.4,True,1,Boden-1000hPa,394.4,3
2026-09-12 05:00:00+02:00,14.0,1020.8,2.39,237,85,14.5,181.0,6.6,268,13.2,395.0,6.49,278,11.5,613.0,5.76,279,10.3,835.79,6.02,279,9.2,1063.55,6.28,279,6.9,1535.0,6.8,280,0.2834467120181406,176.4,0.5,178.4,14.277777777777779,0.27777777777777857,14.368785046728972,0.3687850467289717,12.36091743119266,-1.6390825688073392,0.9717523053665911,12.933333333333332,12.933333333333332,12.933333333333332,measured,-1.0666666666666682,1.3444444444444468,1.43545171339564,-0.572415902140671,1.4689250881834222,True,4.2088333333333345,0.8881330309901746,1.5666666666666682,176.4,True,1,Boden-1000hPa,392.4,3
2026-09-12 06:00:00+02:00,13.8,1021.2,2.37,242,3,14.6,184.0,6.4,269,12.9,398.0,6.03,275,11.5,616.0,5.27,272,10.3,838.56,5.89,272,9.1,1066.07,6.5,273,6.8,1537.0,7.73,273,0.4459308807134888,179.4,0.7999999999999989,181.4,14.23701226309922,0.4370122630992199,14.452242990654206,0.6522429906542051,12.228256880733944,-1.5717431192660563,1.3866399479747291,12.25,12.25,12.25,measured,-1.5500000000000007,1.9870122630992206,2.202242990654206,-0.021743119266055544,2.1315815960609426,True,4.598000000000001,1.3099219620958749,2.3499999999999996,179.4,True,1,Boden-1000hPa,395.4,3
2026-09-12 07:00:00+02:00,13.5,1021.5,2.39,237,21,14.1,187.0,6.63,265,12.8,400.0,6.39,278,11.0,618.0,6.19,278,9.9,840.56,6.84,275,8.8,1068.07,7.5,273,6.6,1539.0,8.86,269,0.32894736842105243,182.4,0.5999999999999996,184.4,13.822368421052632,0.32236842105263186,14.004788732394365,0.5047887323943652,11.952844036697249,-1.5471559633027514,1.101670175438596,11.766666666666666,11.766666666666666,11.766666666666666,measured,-1.7333333333333343,2.055701754385966,2.2381220657276995,0.18617737003058288,1.8922857699805067,True,4.6080000000000005,1.2792397660818717,2.333333333333334,182.4,True,1,Boden-1000hPa,397.4,3
2026-09-12 08:00:00+02:00,12.6,1021.4,2.72,234,92,13.9,186.0,7.47,258,12.8,399.0,6.75,274,10.9,617.0,6.29,283,9.8,839.09,7.05,279,8.7,1066.12,7.85,276,6.4,1536.0,9.49,271,0.7166482910694602,181.4,1.3000000000000007,183.4,13.30231532524807,0.7023153252480707,13.814272300469485,1.214272300469485,11.897064220183486,-0.7029357798165137,2.0734552002940108,12.383333333333333,12.383333333333333,12.383333333333333,measured,-0.21666666666666679,0.9189819919147375,1.4309389671361519,-0.4862691131498469,2.2518327943158165,True,4.181750000000001,0.8360896729143702,1.5166666666666675,181.4,True,1,Boden-1000hPa,396.4,3
2026-09-12 09:00:00+02:00,13.7,1021.8,3.05,238,57,13.8,189.0,7.54,264,12.7,402.0,7.2,277,10.9,620.0,6.29,283,9.7,842.09,7.07,281,8.5,1069.12,7.86,280,6.2,1539.0,9.45,278,0.05422993492407886,184.4,0.10000000000000142,186.4,13.753145336225597,0.05314533622559736,13.729765258215963,0.02976525821596354,11.869357798165137,-1.8306422018348627,0.41352154736081176,14.333333333333334,14.333333333333334,14.333333333333334,measured,0.6333333333333346,-0.5801879971077373,-0.6035680751173711,-2.4639755351681973,0.3101411605206088,True,0.0,0.0,0.0,0.0,True,0,keine,399.4,3
