time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-09-24 00:00:00+02:00,surface,,9.0,2.0,16.3,True
2026-09-24 00:00:00+02:00,pressure,1000.0,152.0,145.0,15.3,True
2026-09-24 00:00:00+02:00,pressure,975.0,366.0,359.0,13.4,True
2026-09-24 00:00:00+02:00,pressure,950.0,584.0,577.0,11.3,True
2026-09-24 00:00:00+02:00,pressure,925.0,806.33,799.33,10.0,True
2026-09-24 00:00:00+02:00,pressure,900.0,1033.6,1026.6,8.6,True
2026-09-24 00:00:00+02:00,pressure,850.0,1504.0,1497.0,5.9,True
2026-09-24 01:00:00+02:00,surface,,9.0,2.0,15.8,True
2026-09-24 01:00:00+02:00,pressure,1000.0,150.0,143.0,14.7,True
2026-09-24 01:00:00+02:00,pressure,975.0,364.0,357.0,12.7,True
2026-09-24 01:00:00+02:00,pressure,950.0,581.0,574.0,10.7,True
2026-09-24 01:00:00+02:00,pressure,925.0,802.87,795.87,9.3,True
2026-09-24 01:00:00+02:00,pressure,900.0,1029.65,1022.6500000000001,7.9,True
2026-09-24 01:00:00+02:00,pressure,850.0,1499.0,1492.0,5.1,True
2026-09-24 02:00:00+02:00,surface,,9.0,2.0,15.4,True
2026-09-24 02:00:00+02:00,pressure,1000.0,148.0,141.0,14.3,True
2026-09-24 02:00:00+02:00,pressure,975.0,361.0,354.0,12.4,True
2026-09-24 02:00:00+02:00,pressure,950.0,578.0,571.0,10.4,True
2026-09-24 02:00:00+02:00,pressure,925.0,799.4,792.4,8.9,True
2026-09-24 02:00:00+02:00,pressure,900.0,1025.69,1018.69,7.4,True
2026-09-24 02:00:00+02:00,pressure,850.0,1494.0,1487.0,4.5,True
2026-09-24 03:00:00+02:00,surface,,9.0,2.0,14.9,True
2026-09-24 03:00:00+02:00,pressure,1000.0,157.0,150.0,13.5,True
2026-09-24 03:00:00+02:00,pressure,975.0,369.0,362.0,11.5,True
2026-09-24 03:00:00+02:00,pressure,950.0,586.0,579.0,9.8,True
2026-09-24 03:00:00+02:00,pressure,925.0,806.93,799.93,8.2,True
2026-09-24 03:00:00+02:00,pressure,900.0,1032.74,1025.74,6.6,True
2026-09-24 03:00:00+02:00,pressure,850.0,1500.0,1493.0,3.5,True
2026-09-24 04:00:00+02:00,surface,,9.0,2.0,15.0,True
2026-09-24 04:00:00+02:00,pressure,1000.0,157.0,150.0,13.8,True
2026-09-24 04:00:00+02:00,pressure,975.0,370.0,363.0,11.8,True
2026-09-24 04:00:00+02:00,pressure,950.0,587.0,580.0,9.8,True
2026-09-24 04:00:00+02:00,pressure,925.0,807.46,800.46,8.1,True
2026-09-24 04:00:00+02:00,pressure,900.0,1032.78,1025.78,6.4,True
2026-09-24 04:00:00+02:00,pressure,850.0,1499.0,1492.0,3.0,True
2026-09-24 05:00:00+02:00,surface,,9.0,2.0,14.9,True
2026-09-24 05:00:00+02:00,pressure,1000.0,149.0,142.0,13.8,True
2026-09-24 05:00:00+02:00,pressure,975.0,361.0,354.0,11.7,True
2026-09-24 05:00:00+02:00,pressure,950.0,578.0,571.0,9.5,True
2026-09-24 05:00:00+02:00,pressure,925.0,798.23,791.23,7.8,True
2026-09-24 05:00:00+02:00,pressure,900.0,1023.31,1016.31,6.0,True
2026-09-24 05:00:00+02:00,pressure,850.0,1489.0,1482.0,2.4,True
2026-09-24 06:00:00+02:00,surface,,9.0,2.0,15.0,True
2026-09-24 06:00:00+02:00,pressure,1000.0,153.0,146.0,13.9,True
2026-09-24 06:00:00+02:00,pressure,975.0,366.0,359.0,11.8,True
2026-09-24 06:00:00+02:00,pressure,950.0,582.0,575.0,9.7,True
2026-09-24 06:00:00+02:00,pressure,925.0,802.23,795.23,7.8,True
2026-09-24 06:00:00+02:00,pressure,900.0,1027.3,1020.3,5.9,True
2026-09-24 06:00:00+02:00,pressure,850.0,1493.0,1486.0,2.2,True
2026-09-24 07:00:00+02:00,surface,,9.0,2.0,15.2,True
2026-09-24 07:00:00+02:00,pressure,1000.0,159.0,152.0,14.1,True
2026-09-24 07:00:00+02:00,pressure,975.0,371.0,364.0,12.0,True
2026-09-24 07:00:00+02:00,pressure,950.0,588.0,581.0,10.0,True
2026-09-24 07:00:00+02:00,pressure,925.0,808.23,801.23,8.0,True
2026-09-24 07:00:00+02:00,pressure,900.0,1033.31,1026.31,6.1,True
2026-09-24 07:00:00+02:00,pressure,850.0,1499.0,1492.0,2.2,True
2026-09-24 08:00:00+02:00,surface,,9.0,2.0,14.7,True
2026-09-24 08:00:00+02:00,pressure,1000.0,161.0,154.0,13.5,True
2026-09-24 08:00:00+02:00,pressure,975.0,373.0,366.0,11.5,True
2026-09-24 08:00:00+02:00,pressure,950.0,590.0,583.0,9.5,True
2026-09-24 08:00:00+02:00,pressure,925.0,810.0,803.0,7.6,True
2026-09-24 08:00:00+02:00,pressure,900.0,1034.83,1027.83,5.6,True
2026-09-24 08:00:00+02:00,pressure,850.0,1500.0,1493.0,1.7,True
2026-09-24 09:00:00+02:00,surface,,9.0,2.0,15.2,True
2026-09-24 09:00:00+02:00,pressure,1000.0,158.0,151.0,13.8,True
2026-09-24 09:00:00+02:00,pressure,975.0,371.0,364.0,11.7,True
2026-09-24 09:00:00+02:00,pressure,950.0,588.0,581.0,9.7,True
2026-09-24 09:00:00+02:00,pressure,925.0,807.99,800.99,7.7,True
2026-09-24 09:00:00+02:00,pressure,900.0,1032.83,1025.83,5.8,True
2026-09-24 09:00:00+02:00,pressure,850.0,1498.0,1491.0,1.9,True
2026-09-24 10:00:00+02:00,surface,,9.0,2.0,15.4,True
2026-09-24 10:00:00+02:00,pressure,1000.0,164.0,157.0,13.8,True
2026-09-24 10:00:00+02:00,pressure,975.0,376.0,369.0,11.8,True
2026-09-24 10:00:00+02:00,pressure,950.0,593.0,586.0,9.8,True
2026-09-24 10:00:00+02:00,pressure,925.0,813.23,806.23,7.9,True
2026-09-24 10:00:00+02:00,pressure,900.0,1038.3,1031.3,6.0,True
2026-09-24 10:00:00+02:00,pressure,850.0,1504.0,1497.0,2.2,True
2026-09-24 11:00:00+02:00,surface,,9.0,2.0,16.0,True
2026-09-24 11:00:00+02:00,pressure,1000.0,171.0,164.0,14.1,True
2026-09-24 11:00:00+02:00,pressure,975.0,384.0,377.0,12.0,True
2026-09-24 11:00:00+02:00,pressure,950.0,601.0,594.0,10.0,True
2026-09-24 11:00:00+02:00,pressure,925.0,821.46,814.46,8.1,True
2026-09-24 11:00:00+02:00,pressure,900.0,1046.78,1039.78,6.2,True
2026-09-24 11:00:00+02:00,pressure,850.0,1513.0,1506.0,2.4,True
2026-09-24 12:00:00+02:00,surface,,9.0,2.0,15.8,True
2026-09-24 12:00:00+02:00,pressure,1000.0,170.0,163.0,13.7,True
2026-09-24 12:00:00+02:00,pressure,975.0,383.0,376.0,11.6,True
2026-09-24 12:00:00+02:00,pressure,950.0,599.0,592.0,9.4,True
2026-09-24 12:00:00+02:00,pressure,925.0,819.23,812.23,7.7,True
2026-09-24 12:00:00+02:00,pressure,900.0,1044.3,1037.3,5.9,True
2026-09-24 12:00:00+02:00,pressure,850.0,1510.0,1503.0,2.4,True
2026-09-24 13:00:00+02:00,surface,,9.0,2.0,15.9,True
2026-09-24 13:00:00+02:00,pressure,1000.0,174.0,167.0,13.6,True
2026-09-24 13:00:00+02:00,pressure,975.0,387.0,380.0,11.4,True
2026-09-24 13:00:00+02:00,pressure,950.0,603.0,596.0,9.4,True
2026-09-24 13:00:00+02:00,pressure,925.0,823.23,816.23,7.7,True
2026-09-24 13:00:00+02:00,pressure,900.0,1048.3,1041.3,5.9,True
2026-09-24 13:00:00+02:00,pressure,850.0,1514.0,1507.0,2.4,True
2026-09-24 14:00:00+02:00,surface,,9.0,2.0,15.7,True
2026-09-24 14:00:00+02:00,pressure,1000.0,177.0,170.0,13.3,True
2026-09-24 14:00:00+02:00,pressure,975.0,389.0,382.0,11.1,True
2026-09-24 14:00:00+02:00,pressure,950.0,605.0,598.0,9.0,True
2026-09-24 14:00:00+02:00,pressure,925.0,824.76,817.76,7.4,True
2026-09-24 14:00:00+02:00,pressure,900.0,1049.35,1042.35,5.8,True
2026-09-24 14:00:00+02:00,pressure,850.0,1514.0,1507.0,2.7,True
2026-09-24 15:00:00+02:00,surface,,9.0,2.0,15.5,True
2026-09-24 15:00:00+02:00,pressure,1000.0,174.0,167.0,13.3,True
2026-09-24 15:00:00+02:00,pressure,975.0,386.0,379.0,11.2,True
2026-09-24 15:00:00+02:00,pressure,950.0,602.0,595.0,9.1,True
2026-09-24 15:00:00+02:00,pressure,925.0,822.23,815.23,7.5,True
2026-09-24 15:00:00+02:00,pressure,900.0,1047.3,1040.3,5.9,True
2026-09-24 15:00:00+02:00,pressure,850.0,1513.0,1506.0,2.7,True
2026-09-24 16:00:00+02:00,surface,,9.0,2.0,15.5,True
2026-09-24 16:00:00+02:00,pressure,1000.0,182.0,175.0,13.2,True
2026-09-24 16:00:00+02:00,pressure,975.0,394.0,387.0,11.1,True
2026-09-24 16:00:00+02:00,pressure,950.0,610.0,603.0,9.0,True
2026-09-24 16:00:00+02:00,pressure,925.0,829.99,822.99,7.4,True
2026-09-24 16:00:00+02:00,pressure,900.0,1054.82,1047.82,5.7,True
2026-09-24 16:00:00+02:00,pressure,850.0,1520.0,1513.0,2.4,True
2026-09-24 17:00:00+02:00,surface,,9.0,2.0,15.4,True
2026-09-24 17:00:00+02:00,pressure,1000.0,183.0,176.0,13.4,True
2026-09-24 17:00:00+02:00,pressure,975.0,395.0,388.0,11.3,True
2026-09-24 17:00:00+02:00,pressure,950.0,612.0,605.0,9.2,True
2026-09-24 17:00:00+02:00,pressure,925.0,831.99,824.99,7.5,True
2026-09-24 17:00:00+02:00,pressure,900.0,1056.82,1049.82,5.7,True
2026-09-24 17:00:00+02:00,pressure,850.0,1522.0,1515.0,2.2,True
2026-09-24 18:00:00+02:00,surface,,9.0,2.0,15.1,True
2026-09-24 18:00:00+02:00,pressure,1000.0,185.0,178.0,13.2,True
2026-09-24 18:00:00+02:00,pressure,975.0,397.0,390.0,11.1,True
2026-09-24 18:00:00+02:00,pressure,950.0,613.0,606.0,9.0,True
2026-09-24 18:00:00+02:00,pressure,925.0,832.99,825.99,7.7,True
2026-09-24 18:00:00+02:00,pressure,900.0,1057.82,1050.82,6.4,True
2026-09-24 18:00:00+02:00,pressure,850.0,1523.0,1516.0,3.9,True
2026-09-24 19:00:00+02:00,surface,,9.0,2.0,14.9,True
2026-09-24 19:00:00+02:00,pressure,1000.0,188.0,181.0,13.2,True
2026-09-24 19:00:00+02:00,pressure,975.0,400.0,393.0,11.1,True
2026-09-24 19:00:00+02:00,pressure,950.0,616.0,609.0,9.0,True
2026-09-24 19:00:00+02:00,pressure,925.0,836.23,829.23,7.8,True
2026-09-24 19:00:00+02:00,pressure,900.0,1061.3,1054.3,6.6,True
2026-09-24 19:00:00+02:00,pressure,850.0,1527.0,1520.0,4.1,True
2026-09-24 20:00:00+02:00,surface,,9.0,2.0,14.6,True
2026-09-24 20:00:00+02:00,pressure,1000.0,189.0,182.0,13.1,True
2026-09-24 20:00:00+02:00,pressure,975.0,401.0,394.0,11.1,True
2026-09-24 20:00:00+02:00,pressure,950.0,617.0,610.0,9.1,True
