time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,temperature_100m_agl,deltaT_100m_model_K,temperature_200m_agl,deltaT_200m_model_K,temperature_500m_agl,deltaT_500m_model_K,inversion_index,surface_temperature_obs,dwd_temperature_obs,surface_temperature_for_profile,surface_temperature_source,surface_temp_bias_K,inversion_index_corrected,surface_correction_used,deltaT_100m_surface_K,deltaT_200m_surface_K,deltaT_500m_surface_K,local_stratification_index,local_max_gradient_K_per_100m,local_positive_deltaT_K,local_inversion_depth_m,local_surface_measured,local_inverted_layer_count,local_strongest_layer,local_profile_top_m,local_profile_point_count
2026-09-26 00:00:00+02:00,12.6,1017.5,1.93,201,81,16.8,154.0,6.22,225,15.5,370.0,6.36,240,13.8,589.0,7.18,251,12.6,813.19,7.44,260,11.5,1042.42,7.88,268,9.2,1517.0,9.19,282,2.8112449799196795,149.4,4.200000000000001,151.4,15.355020080321285,2.7550200803212856,16.5075,3.9075000000000006,14.470684931506849,1.8706849315068492,4.4741,,,12.6,model_2m,,4.4741,False,2.7550200803212856,3.9075000000000006,1.8706849315068492,4.498,2.8112449799196795,4.200000000000001,149.4,False,1,Boden-1000hPa,586.4,4
2026-09-26 01:00:00+02:00,12.4,1017.4,2.09,197,68,16.6,153.0,6.44,224,15.8,368.0,6.54,243,13.9,588.0,6.91,255,12.7,812.66,7.65,261,11.4,1042.37,8.48,266,8.9,1518.0,10.28,274,2.8301886792452837,148.4,4.200000000000001,150.4,15.173584905660379,2.7735849056603783,16.41544186046512,4.015441860465119,14.637545454545455,2.2375454545454545,4.472600000000001,,,12.4,model_2m,,4.472600000000001,False,2.7735849056603783,4.015441860465119,2.2375454545454545,4.494666666666667,2.8301886792452837,4.200000000000001,148.4,False,1,Boden-1000hPa,585.4,4
2026-09-26 02:00:00+02:00,12.3,1017.4,2.15,202,0,16.5,153.0,6.72,226,16.0,369.0,6.67,244,14.0,588.0,6.23,255,12.8,812.9,7.44,260,11.6,1042.85,8.69,264,9.3,1519.0,11.27,269,2.8301886792452824,148.4,4.199999999999999,150.4,15.073584905660377,2.7735849056603765,16.385185185185186,4.0851851851851855,14.779908675799087,2.479908675799086,4.472600000000001,,,12.3,model_2m,,4.472600000000001,False,2.7735849056603765,4.0851851851851855,2.479908675799086,4.494666666666667,2.8301886792452824,4.199999999999999,148.4,False,1,Boden-1000hPa,585.4,4
2026-09-26 03:00:00+02:00,12.1,1017.0,2.15,208,55,16.4,149.0,6.82,231,16.0,365.0,6.6,248,13.9,585.0,6.18,257,12.7,809.43,7.6,260,11.6,1038.9,9.04,262,9.3,1514.0,11.94,265,2.9778393351800543,144.4,4.299999999999999,146.4,15.018282548476453,2.918282548476453,16.30074074074074,4.2007407407407396,14.686545454545454,2.5865454545454547,4.466600000000001,,,12.1,model_2m,,4.466600000000001,False,2.918282548476453,4.2007407407407396,2.5865454545454547,4.481333333333334,2.9778393351800543,4.299999999999999,144.4,False,1,Boden-1000hPa,582.4,4
2026-09-26 04:00:00+02:00,11.9,1017.1,2.28,218,44,15.9,150.0,6.96,238,16.0,365.0,6.89,249,14.0,585.0,6.94,251,12.8,809.43,8.35,256,11.6,1038.9,9.82,260,9.2,1514.0,12.84,265,2.7510316368638237,360.4,4.1,147.4,14.596011004126549,2.6960110041265484,15.92446511627907,4.024465116279069,14.74909090909091,2.8490909090909096,4.7906,,,11.9,model_2m,,4.7906,False,2.6960110041265484,4.024465116279069,2.8490909090909096,5.0,2.7510316368638237,4.1,360.4,False,2,Boden-1000hPa,582.4,4
2026-09-26 05:00:00+02:00,12.8,1017.4,2.26,225,97,15.2,152.0,6.85,247,16.0,368.0,7.44,254,14.3,588.0,7.24,252,12.8,812.43,8.6,261,11.3,1041.9,10.1,267,8.3,1517.0,13.35,275,1.6282225237449106,363.4,3.1999999999999993,149.4,14.395658073270013,1.5956580732700125,15.387407407407407,2.5874074074074063,14.959909090909091,2.159909090909091,4.4951,,,12.8,model_2m,,4.4951,False,1.5956580732700125,2.5874074074074063,2.159909090909091,5.0,1.6282225237449106,3.1999999999999993,363.4,False,2,Boden-1000hPa,585.4,4
2026-09-26 06:00:00+02:00,13.0,1017.1,2.33,211,97,15.4,150.0,6.49,241,16.0,365.0,6.75,252,14.4,586.0,7.13,247,13.0,810.66,9.06,258,11.6,1040.37,11.23,265,8.7,1516.0,15.86,274,1.6506189821182946,360.4,3.0,147.4,14.617606602475929,1.617606602475929,15.54679069767442,2.5467906976744192,15.003800904977375,2.003800904977375,4.4156,,,13.0,model_2m,,4.4156,False,1.617606602475929,2.5467906976744192,2.003800904977375,5.0,1.6506189821182946,3.0,360.4,False,2,Boden-1000hPa,583.4,4
2026-09-26 07:00:00+02:00,13.1,1017.6,2.56,231,78,14.0,154.0,6.71,253,15.2,369.0,7.05,271,14.0,588.0,7.99,265,12.5,812.43,9.14,267,10.9,1041.9,10.31,270,7.8,1517.0,12.67,273,0.602409638554217,364.4,2.0999999999999996,151.4,13.690361445783132,0.5903614457831328,14.271255813953488,1.171255813953488,14.467945205479452,1.3679452054794528,2.438517670682731,,,13.1,model_2m,,2.438517670682731,False,0.5903614457831328,1.171255813953488,1.3679452054794528,5.0,0.602409638554217,2.0999999999999996,364.4,False,2,Boden-1000hPa,585.4,4
2026-09-26 08:00:00+02:00,13.0,1018.1,2.28,255,100,13.7,158.0,6.26,287,13.7,372.0,8.85,308,12.8,591.0,7.95,293,11.5,814.96,8.24,283,10.2,1043.94,8.75,274,7.6,1518.0,10.28,260,0.4563233376792694,153.4,0.6999999999999993,155.4,13.447196870925683,0.4471968709256835,13.7,0.6999999999999993,13.163287671232876,0.1632876712328759,1.329192785745327,,,13.0,model_2m,,1.329192785745327,False,0.4471968709256835,0.6999999999999993,0.1632876712328759,3.177288352890045,0.4563233376792694,0.6999999999999993,153.4,False,1,Boden-1000hPa,588.4,4
2026-09-26 09:00:00+02:00,13.5,1017.8,0.78,220,100,14.6,155.0,3.39,315,14.6,370.0,5.29,305,13.6,589.0,7.28,278,12.1,813.43,8.02,274,10.6,1042.89,8.79,271,7.7,1518.0,10.42,265,0.731382978723404,150.4,1.0999999999999996,152.4,14.216755319148936,0.7167553191489358,14.6,1.0999999999999996,13.994520547945205,0.4945205479452053,1.9789687943262404,,,13.5,model_2m,,1.9789687943262404,False,0.7167553191489358,1.0999999999999996,0.4945205479452053,3.7138333333333327,0.731382978723404,1.0999999999999996,150.4,False,1,Boden-1000hPa,586.4,4
2026-09-26 10:00:00+02:00,14.0,1019.2,1.41,262,100,13.9,167.0,3.97,304,13.1,380.0,5.85,330,12.5,599.0,5.44,308,11.3,822.73,5.75,291,10.0,1051.46,6.49,276,7.5,1525.0,8.81,258,0.0,0.0,0.0,164.4,13.939655172413794,-0.060344827586206407,13.766291079812207,-0.23370892018779266,12.764109589041096,-1.2358904109589037,0.0,,,14.0,model_2m,,0.0,False,-0.060344827586206407,-0.23370892018779266,-1.2358904109589037,0.0,0.0,0.0,0.0,False,0,keine,596.4,4
2026-09-26 11:00:00+02:00,14.9,1019.7,1.17,290,96,13.7,171.0,3.2,321,12.8,385.0,4.5,345,11.6,603.0,3.95,331,10.5,826.73,4.04,299,9.5,1055.46,5.17,275,7.4,1529.0,8.73,253,0.0,0.0,0.0,168.4,14.19326923076923,-0.70673076923077,13.567102803738317,-1.3328971962616833,12.152660550458716,-2.7473394495412844,0.0,,,14.9,model_2m,,0.0,False,-0.70673076923077,-1.3328971962616833,-2.7473394495412844,0.0,0.0,0.0,0.0,False,0,keine,382.4,3
2026-09-26 12:00:00+02:00,16.4,1020.2,0.82,346,99,14.4,176.0,1.7,357,13.1,390.0,3.32,356,11.9,609.0,4.18,334,10.8,832.72,4.39,306,9.7,1061.46,5.46,285,7.5,1535.0,8.79,263,0.0,0.0,0.0,173.4,15.256476079346557,-1.1435239206534416,14.23841121495327,-2.161588785046728,12.483013698630137,-3.916986301369862,0.0,,,16.4,model_2m,,0.0,False,-1.1435239206534416,-2.161588785046728,-3.916986301369862,0.0,0.0,0.0,0.0,False,0,keine,387.4,3
2026-09-26 13:00:00+02:00,17.8,1020.6,1.93,339,96,15.5,181.0,2.72,343,13.4,395.0,2.83,352,12.0,613.0,2.6,353,10.9,836.49,2.8,307,9.8,1064.98,4.22,281,7.6,1538.0,8.04,263,0.0,0.0,0.0,178.4,16.522222222222222,-1.2777777777777786,15.28803738317757,-2.51196261682243,12.708990825688073,-5.091009174311928,0.0,,,17.8,model_2m,,0.0,False,-1.2777777777777786,-2.51196261682243,-5.091009174311928,0.0,0.0,0.0,0.0,False,0,keine,392.4,3
2026-09-26 14:00:00+02:00,18.5,1020.9,2.7,321,62,15.9,183.0,3.55,328,13.8,398.0,3.25,343,11.7,616.0,2.91,356,10.7,839.26,3.0,315,9.8,1067.5,4.24,288,7.8,1540.0,7.85,268,0.0,0.0,0.0,180.4,17.071748878923767,-1.428251121076233,15.708558139534885,-2.791441860465115,12.792385321100918,-5.707614678899082,0.0,,,18.5,model_2m,,0.0,False,-1.428251121076233,-2.791441860465115,-5.707614678899082,0.0,0.0,0.0,0.0,False,0,keine,395.4,3
2026-09-26 15:00:00+02:00,19.0,1020.5,2.64,335,3,16.4,180.0,3.45,343,14.2,394.0,3.46,351,12.0,613.0,3.34,356,10.9,836.26,3.06,324,9.9,1064.5,3.76,295,7.8,1537.0,6.58,269,0.0,0.0,0.0,177.4,17.547320410490308,-1.4526795895096924,16.16766355140187,-2.832336448598131,13.10904109589041,-5.89095890410959,0.0,,,19.0,model_2m,,0.0,False,-1.4526795895096924,-2.832336448598131,-5.89095890410959,0.0,0.0,0.0,0.0,False,0,keine,391.4,3
2026-09-26 16:00:00+02:00,18.6,1021.2,2.92,329,100,16.0,185.0,3.9,337,13.9,400.0,3.68,350,11.9,618.0,3.03,6,10.8,841.26,2.42,335,9.8,1069.5,2.74,300,7.7,1542.0,5.07,267,0.0,0.0,0.0,182.4,17.18758314855876,-1.4124168514412432,15.828093023255814,-2.7719069767441873,12.958715596330276,-5.641284403669726,0.0,,,18.6,model_2m,,0.0,False,-1.4124168514412432,-2.7719069767441873,-5.641284403669726,0.0,0.0,0.0,0.0,False,0,keine,397.4,3
2026-09-26 17:00:00+02:00,18.1,1021.4,3.0,358,100,15.7,187.0,4.6,1,13.6,401.0,4.78,4,11.7,620.0,3.16,18,10.8,843.02,2.13,346,9.9,1071.02,2.28,300,8.2,1543.0,4.99,261,0.0,0.0,0.0,184.4,16.810526315789474,-1.2894736842105274,15.546915887850467,-2.5530841121495342,12.718538812785388,-5.381461187214613,0.0,,,18.1,model_2m,,0.0,False,-1.2894736842105274,-2.5530841121495342,-5.381461187214613,0.0,0.0,0.0,0.0,False,0,keine,398.4,3
2026-09-26 18:00:00+02:00,17.2,1021.7,2.91,16,2,15.1,189.0,4.46,16,13.1,403.0,4.53,16,11.6,621.0,2.55,28,10.7,844.26,1.79,3,9.8,1072.5,1.65,323,8.1,1545.0,3.19,277,0.0,0.0,0.0,186.4,16.083947939262472,-1.1160520607375268,14.972897196261682,-2.227102803738317,12.414678899082569,-4.785321100917431,0.0,,,17.2,model_2m,,0.0,False,-1.1160520607375268,-2.227102803738317,-4.785321100917431,0.0,0.0,0.0,0.0,False,0,keine,400.4,3
2026-09-26 19:00:00+02:00,16.1,1022.2,2.31,18,100,14.6,193.0,4.66,15,13.5,407.0,3.9,29,12.5,625.0,1.68,40,11.3,848.02,1.0,16,10.0,1076.02,0.84,320,7.5,1548.0,2.15,270,0.0,0.0,0.0,190.4,15.319745222929937,-0.7802547770700645,14.550654205607476,-1.5493457943925257,13.061467889908256,-3.0385321100917455,0.0,,,16.1,model_2m,,0.0,False,-0.7802547770700645,-1.5493457943925257,-3.0385321100917455,0.0,0.0,0.0,0.0,False,0,keine,404.4,3
2026-09-26 20:00:00+02:00,14.5,1022.9,1.68,17,0,14.9,199.0,5.1,26,13.8,413.0,3.44,46,12.7,631.0,1.73,60,11.4,854.26,0.92,58,10.2,1082.5,0.13,26,7.6,1555.0,1.53,246,0.20576131687242818,194.4,0.40000000000000036,196.4,14.701646090534979,0.20164609053497884,14.881495327102805,0.38149532710280454,13.347889908256882,-1.1521100917431184,0.8188290809327853,,,14.5,model_2m,,0.8188290809327853,False,0.20164609053497884,0.38149532710280454,-1.1521100917431184,1.9239259259259271,0.20576131687242818,0.40000000000000036,194.4,False,1,Boden-1000hPa,410.4,3
2026-09-26 21:00:00+02:00,13.1,1022.9,1.89,32,27,14.8,199.0,5.63,33,13.5,413.0,3.91,58,12.5,631.0,2.26,87,11.3,854.26,1.45,96,10.0,1082.5,0.73,122,7.5,1555.0,1.35,229,0.8744855967078194,194.4,1.700000000000001,196.4,13.956995884773663,0.8569958847736636,14.778130841121497,1.6781308411214972,13.088990825688073,-0.011009174311926273,2.5323235939643363,,,13.1,model_2m,,2.5323235939643363,False,0.8569958847736636,1.6781308411214972,-0.011009174311926273,4.385500000000001,0.8744855967078194,1.700000000000001,194.4,False,1,Boden-1000hPa,410.4,3
2026-09-26 22:00:00+02:00,12.2,1023.5,1.91,43,1,14.6,204.0,6.15,44,13.4,417.0,4.46,72,12.2,636.0,3.32,115,11.0,859.02,2.51,122,9.8,1087.02,1.78,135,7.5,1559.0,1.25,204,1.2036108324974926,199.4,2.4000000000000004,201.4,13.379538615847542,1.1795386158475427,14.583149448345035,2.3831494483450353,12.93095890410959,0.7309589041095901,3.4057198595787366,,,12.2,model_2m,,3.4057198595787366,False,1.1795386158475427,2.3831494483450353,0.7309589041095901,4.664666666666667,1.2036108324974926,2.4000000000000004,199.4,False,1,Boden-1000hPa,414.4,3
2026-09-26 23:00:00+02:00,11.6,1023.7,1.77,47,0,14.4,205.0,6.52,54,13.6,419.0,4.98,88,12.3,637.0,3.7,126,11.1,860.25,3.12,133,10.0,1088.5,2.61,143,7.6,1561.0,2.03,176,1.3972055888223556,200.4,2.8000000000000007,202.4,12.969261477045908,1.3692614770459084,14.366467065868264,2.766467065868264,13.101467889908257,1.5014678899082572,3.912143579507652,,,11.6,model_2m,,3.912143579507652,False,1.3692614770459084,2.766467065868264,1.5014678899082572,4.668,1.3972055888223556,2.8000000000000007,200.4,False,1,Boden-1000hPa,416.4,3
