time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa
2026-09-15 00:00:00+02:00,22.2,1019.4,1.04,287,0,26.3,186.0,1.2,318,25.9,409.04,1.2,202,25.6,637.0,3.12,182,23.6,870.0,2.3,194,21.7,1108.0,1.0,216,18.0,1600.0,3.81,69
2026-09-15 01:00:00+02:00,21.6,1019.6,1.22,279,0,26.4,187.0,1.52,293,25.9,410.04,1.71,210,25.5,638.0,3.56,185,23.5,872.0,2.55,195,21.7,1110.0,1.0,216,18.2,1602.0,3.28,62
2026-09-15 02:00:00+02:00,21.2,1019.1,1.41,278,1,26.2,182.0,2.69,292,25.6,405.04,2.01,227,25.0,633.0,3.79,187,23.4,866.0,2.92,187,21.8,1104.0,0.94,187,19.1,1597.0,3.19,56
2026-09-15 03:00:00+02:00,20.8,1018.5,1.4,270,26,26.2,177.0,3.73,290,25.5,399.55,2.7,248,24.7,627.0,3.66,204,23.3,860.0,3.2,192,21.7,1098.0,0.94,210,19.3,1590.0,2.86,45
2026-09-15 04:00:00+02:00,20.5,1018.2,1.4,266,20,26.1,174.0,4.18,291,25.4,397.04,3.19,259,24.6,625.0,3.58,221,23.2,858.0,3.05,204,21.8,1096.0,0.74,231,19.7,1588.0,2.6,47
2026-09-15 05:00:00+02:00,19.9,1018.2,1.6,270,12,25.6,174.0,4.55,289,25.1,396.55,3.72,266,24.6,624.0,3.73,237,23.1,857.0,2.92,223,21.8,1095.0,1.21,287,19.7,1588.0,2.26,63
2026-09-15 06:00:00+02:00,19.6,1017.9,1.51,262,11,25.4,171.0,4.75,285,25.1,393.55,3.98,265,24.8,621.0,3.8,241,23.2,854.0,2.98,236,22.0,1092.0,1.47,288,19.7,1585.0,1.72,107
2026-09-15 07:00:00+02:00,19.3,1017.7,1.43,258,8,25.1,169.0,4.46,279,25.0,391.55,3.95,263,24.8,619.0,3.8,245,23.4,852.0,3.0,243,22.2,1090.0,1.55,283,19.6,1584.0,1.59,151
2026-09-15 08:00:00+02:00,18.8,1017.7,1.41,262,0,25.0,169.0,4.0,271,24.9,391.55,3.74,258,24.8,619.0,3.7,244,23.6,852.0,2.9,242,22.5,1090.0,1.28,265,19.7,1584.0,1.9,176
2026-09-15 09:00:00+02:00,20.0,1017.8,1.33,257,0,24.8,170.0,3.81,265,24.8,392.55,3.62,253,24.8,620.0,3.61,240,23.7,852.0,2.82,236,22.6,1091.0,1.42,235,19.8,1585.0,2.12,197
2026-09-15 10:00:00+02:00,23.4,1018.1,1.39,249,0,24.9,173.0,3.63,262,24.9,395.55,3.48,247,24.9,623.0,3.59,231,23.8,856.0,2.93,230,22.7,1094.0,1.81,225,20.0,1588.0,2.18,216
2026-09-15 11:00:00+02:00,27.0,1018.4,1.49,228,0,25.7,177.0,2.79,249,25.4,400.04,3.22,229,25.1,628.0,3.94,215,24.1,861.0,3.18,219,22.8,1099.0,2.52,214,20.0,1593.0,2.33,221
2026-09-15 12:00:00+02:00,29.8,1018.2,1.61,187,0,27.2,177.0,2.04,191,26.4,400.04,3.09,201,25.6,628.0,4.18,206,24.4,862.0,3.29,215,23.0,1100.0,2.74,216,20.3,1595.0,2.28,236
2026-09-15 13:00:00+02:00,31.8,1017.2,2.82,157,0,28.7,168.0,3.7,161,27.4,392.02,3.9,181,26.1,621.0,4.49,197,24.8,855.0,3.4,207,23.5,1094.0,3.16,216,20.5,1588.0,2.26,243
2026-09-15 14:00:00+02:00,31.8,1016.8,3.76,140,0,28.6,164.0,5.08,144,27.9,388.51,4.22,166,27.3,618.0,4.2,193,25.8,852.0,3.5,207,24.3,1092.0,3.05,220,21.0,1588.0,2.06,259
2026-09-15 15:00:00+02:00,31.3,1016.2,4.11,131,0,28.3,159.0,5.8,134,28.2,383.5,4.36,154,28.0,613.0,3.89,186,26.4,848.0,3.01,202,24.7,1088.0,2.42,235,21.4,1584.0,2.19,280
2026-09-15 16:00:00+02:00,31.0,1015.4,4.0,127,0,28.1,152.0,5.76,129,28.2,376.5,4.59,143,28.3,606.0,3.89,166,26.9,841.0,2.58,185,25.3,1082.0,1.72,242,21.8,1579.0,2.44,291
2026-09-15 17:00:00+02:00,30.8,1014.8,3.91,122,0,28.6,147.0,5.92,127,28.9,371.99,4.97,140,29.2,602.0,4.33,157,27.7,838.0,2.8,178,26.3,1079.0,1.81,225,22.6,1578.0,2.46,282
2026-09-15 18:00:00+02:00,29.8,1014.0,3.3,104,0,28.0,140.0,4.81,111,28.4,364.99,4.94,124,28.8,595.0,5.32,137,27.6,831.0,2.93,140,26.2,1072.0,1.64,172,22.7,1571.0,2.33,283
2026-09-15 19:00:00+02:00,28.6,1013.8,2.6,74,0,27.4,139.0,3.72,84,28.1,364.0,4.57,115,28.8,594.0,6.24,132,27.5,830.0,3.7,115,26.3,1071.0,2.14,131,22.9,1570.0,1.2,288
2026-09-15 20:00:00+02:00,27.1,1014.0,2.83,45,18,26.3,140.0,4.61,49,27.5,364.51,4.11,98,28.6,594.0,6.24,132,27.2,830.0,4.55,118,26.0,1071.0,3.07,119,22.9,1570.0,1.35,221
2026-09-15 21:00:00+02:00,26.0,1014.3,2.8,35,38,25.9,142.0,6.24,41,27.2,366.02,4.04,89,28.5,595.0,6.1,139,27.5,831.0,5.61,134,25.7,1072.0,4.26,125,22.8,1571.0,2.56,189
2026-09-15 22:00:00+02:00,25.7,1014.5,2.56,39,49,25.9,144.0,6.59,41,27.1,367.53,3.7,74,28.2,596.0,4.03,136,27.8,832.0,5.59,143,25.7,1074.0,4.62,131,22.2,1572.0,3.82,186
2026-09-15 23:00:00+02:00,25.2,1014.7,1.5,37,53,25.6,145.0,4.97,40,26.5,368.53,2.89,58,27.4,597.0,1.88,114,27.7,833.0,4.75,150,25.9,1074.0,5.19,146,21.8,1572.0,4.07,175
