time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,inversion_index,dwd_temperature_obs,surface_temp_bias_K,inversion_index_corrected,surface_correction_used
2026-08-17 00:00:00+02:00,22.8,1001.4,0.95,342,75,22.9,113.0,1.04,343,23.7,334.0,7.38,340,22.5,561.0,8.2,355,20.8,791.96,5.96,355,19.2,1028.25,3.72,355,15.9,1518.0,0.76,180,0.36199095022624467,221.0,0.8000000000000007,13.0,1.295150075414782,,,1.295150075414782,False
2026-08-17 01:00:00+02:00,22.2,1001.6,2.33,350,84,22.3,116.0,2.75,350,23.4,337.0,9.06,11,21.4,563.0,9.05,10,20.0,793.49,6.49,5,18.6,1029.3,4.04,354,15.8,1518.0,2.56,250,0.497737556561085,221.0,1.0999999999999979,16.0,1.6565188536953217,,,1.6565188536953217,False
2026-08-17 02:00:00+02:00,21.0,1001.6,2.34,340,100,21.2,115.0,2.75,341,22.3,336.0,8.4,1,20.5,561.0,8.61,2,19.2,791.26,6.37,353,18.0,1026.82,4.46,335,15.4,1515.0,4.08,263,0.49773755656108665,221.0,1.1000000000000014,15.0,1.6565188536953261,,,1.6565188536953261,False
2026-08-17 03:00:00+02:00,20.4,1001.8,2.04,349,89,20.5,117.0,2.45,348,21.1,337.0,8.54,354,19.3,561.0,9.36,2,18.2,790.56,7.24,351,17.0,1025.39,5.62,331,14.7,1512.0,5.72,275,0.2727272727272734,220.0,0.6000000000000014,17.0,1.0550000000000017,,,1.0550000000000017,False
2026-08-17 04:00:00+02:00,19.8,1001.6,1.77,344,8,20.0,116.0,2.09,343,20.4,335.0,6.32,1,18.9,559.0,7.5,8,17.7,788.1,5.83,349,16.5,1022.44,5.22,320,14.1,1508.0,7.75,275,0.18264840182648337,219.0,0.3999999999999986,16.0,0.8133554033485523,,,0.8133554033485523,False
2026-08-17 05:00:00+02:00,19.0,1001.8,2.06,337,100,19.0,117.0,2.51,337,19.5,336.0,6.54,349,17.9,559.0,6.56,2,16.7,787.4,5.47,342,15.5,1021.01,5.25,317,13.0,1505.0,7.43,279,0.228310502283105,219.0,0.5,17.0,0.9345692541856926,,,0.9345692541856926,False
2026-08-17 06:00:00+02:00,18.8,1001.3,1.65,346,100,18.7,113.0,1.87,344,18.7,330.0,7.21,342,17.4,553.0,6.18,347,16.2,780.7,5.76,323,15.0,1013.58,6.37,300,12.6,1496.0,9.63,272,0.0,0.0,0.0,13.0,0.0,,,0.0,False
2026-08-17 07:00:00+02:00,18.1,1001.8,1.57,333,100,18.1,116.0,1.88,335,18.1,334.0,6.46,341,17.2,556.0,8.29,350,15.9,783.23,7.52,330,14.6,1015.63,7.82,308,11.9,1497.0,10.99,278,0.0,0.0,0.0,16.0,0.0,,,0.0,False
2026-08-17 08:00:00+02:00,18.9,1001.7,1.17,340,100,18.6,116.0,1.3,337,17.8,334.0,5.26,350,16.8,556.0,7.92,352,15.4,782.77,7.01,333,14.0,1014.67,7.07,311,11.2,1495.0,9.72,278,0.0,0.0,0.0,16.0,0.0,,,0.0,False
2026-08-17 09:00:00+02:00,19.6,1002.1,1.58,342,100,19.2,119.0,1.71,339,17.5,337.0,4.69,342,16.2,558.0,7.17,347,14.7,784.3,6.58,331,13.2,1015.72,6.58,313,10.3,1495.0,8.23,284,0.0,0.0,0.0,19.0,0.0,,,0.0,False
