time,temperature_obs
2026-08-25 02:00:00+02:00,16.5
2026-08-25 02:10:00+02:00,16.6
2026-08-25 02:20:00+02:00,16.6
2026-08-25 02:30:00+02:00,17.0
2026-08-25 02:40:00+02:00,17.0
2026-08-25 02:50:00+02:00,17.0
2026-08-25 03:00:00+02:00,16.5
2026-08-25 03:10:00+02:00,16.8
2026-08-25 03:20:00+02:00,16.8
2026-08-25 03:30:00+02:00,17.1
2026-08-25 03:40:00+02:00,16.2
2026-08-25 03:50:00+02:00,16.1
2026-08-25 04:00:00+02:00,16.2
2026-08-25 04:10:00+02:00,16.4
2026-08-25 04:20:00+02:00,16.6
2026-08-25 04:30:00+02:00,16.6
2026-08-25 04:40:00+02:00,16.5
2026-08-25 04:50:00+02:00,17.0
2026-08-25 05:00:00+02:00,16.9
2026-08-25 05:10:00+02:00,16.8
2026-08-25 05:20:00+02:00,16.9
2026-08-25 05:30:00+02:00,17.1
2026-08-25 05:40:00+02:00,17.2
2026-08-25 05:50:00+02:00,17.1
2026-08-25 06:00:00+02:00,17.0
2026-08-25 06:10:00+02:00,17.2
2026-08-25 06:20:00+02:00,17.3
2026-08-25 06:30:00+02:00,16.4
2026-08-25 06:40:00+02:00,16.3
2026-08-25 06:50:00+02:00,16.3
2026-08-25 07:00:00+02:00,16.3
2026-08-25 07:10:00+02:00,16.4
2026-08-25 07:20:00+02:00,16.3
2026-08-25 07:30:00+02:00,16.1
2026-08-25 07:40:00+02:00,15.8
2026-08-25 07:50:00+02:00,16.1
2026-08-25 08:00:00+02:00,16.0
2026-08-25 08:10:00+02:00,16.0
2026-08-25 08:20:00+02:00,16.1
2026-08-25 08:30:00+02:00,15.5
2026-08-25 08:40:00+02:00,15.6
2026-08-25 08:50:00+02:00,15.6
2026-08-25 09:00:00+02:00,15.5
2026-08-25 09:10:00+02:00,15.7
2026-08-25 09:20:00+02:00,16.1
2026-08-25 09:30:00+02:00,16.4
2026-08-25 09:40:00+02:00,16.5
2026-08-25 09:50:00+02:00,16.3
2026-08-25 10:00:00+02:00,16.2
2026-08-25 10:10:00+02:00,16.2
2026-08-25 10:20:00+02:00,16.5
2026-08-25 10:30:00+02:00,16.5
2026-08-25 10:40:00+02:00,16.7
2026-08-25 10:50:00+02:00,16.7
2026-08-25 11:00:00+02:00,16.2
2026-08-25 11:10:00+02:00,16.1
2026-08-25 11:20:00+02:00,16.2
2026-08-25 11:30:00+02:00,16.2
2026-08-25 11:40:00+02:00,16.1
2026-08-25 11:50:00+02:00,16.0
2026-08-25 12:00:00+02:00,16.0
2026-08-25 12:10:00+02:00,16.0
2026-08-25 12:20:00+02:00,16.0
2026-08-25 12:30:00+02:00,16.0
2026-08-25 12:40:00+02:00,16.1
2026-08-25 12:50:00+02:00,16.1
2026-08-25 13:00:00+02:00,16.1
2026-08-25 13:10:00+02:00,16.2
2026-08-25 13:20:00+02:00,16.4
2026-08-25 13:30:00+02:00,16.5
2026-08-25 13:40:00+02:00,16.7
2026-08-25 13:50:00+02:00,16.8
2026-08-25 14:00:00+02:00,17.2
2026-08-25 14:10:00+02:00,17.1
2026-08-25 14:20:00+02:00,17.2
2026-08-25 14:30:00+02:00,17.4
2026-08-25 14:40:00+02:00,17.2
2026-08-25 14:50:00+02:00,17.1
2026-08-25 15:00:00+02:00,17.4
2026-08-25 15:10:00+02:00,17.5
2026-08-25 15:20:00+02:00,18.2
2026-08-25 15:30:00+02:00,17.9
2026-08-25 15:40:00+02:00,17.9
2026-08-25 15:50:00+02:00,17.9
