time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-08-30 00:00:00+02:00,surface,,104.0,2.0,20.3,True
2026-08-30 00:00:00+02:00,pressure,1000.0,117.0,15.0,20.7,True
2026-08-30 00:00:00+02:00,pressure,975.0,336.0,234.0,20.3,True
2026-08-30 00:00:00+02:00,pressure,950.0,560.0,458.0,18.7,True
2026-08-30 00:00:00+02:00,pressure,925.0,787.7,685.7,16.8,True
2026-08-30 00:00:00+02:00,pressure,900.0,1020.58,918.58,14.9,True
2026-08-30 00:00:00+02:00,pressure,850.0,1503.0,1401.0,11.2,True
2026-08-30 01:00:00+02:00,surface,,104.0,2.0,19.7,True
2026-08-30 01:00:00+02:00,pressure,1000.0,117.0,15.0,20.0,True
2026-08-30 01:00:00+02:00,pressure,975.0,336.0,234.0,20.4,True
2026-08-30 01:00:00+02:00,pressure,950.0,560.0,458.0,18.6,True
2026-08-30 01:00:00+02:00,pressure,925.0,787.46,685.46,16.8,True
2026-08-30 01:00:00+02:00,pressure,900.0,1020.1,918.1,15.1,True
2026-08-30 01:00:00+02:00,pressure,850.0,1502.0,1400.0,11.7,True
2026-08-30 02:00:00+02:00,surface,,104.0,2.0,20.4,True
2026-08-30 02:00:00+02:00,pressure,1000.0,116.0,14.0,20.6,True
2026-08-30 02:00:00+02:00,pressure,975.0,334.0,232.0,19.8,True
2026-08-30 02:00:00+02:00,pressure,950.0,558.0,456.0,17.8,True
2026-08-30 02:00:00+02:00,pressure,925.0,785.46,683.46,16.3,True
2026-08-30 02:00:00+02:00,pressure,900.0,1018.1,916.1,14.8,True
2026-08-30 02:00:00+02:00,pressure,850.0,1500.0,1398.0,11.8,True
2026-08-30 03:00:00+02:00,surface,,104.0,2.0,19.9,True
2026-08-30 03:00:00+02:00,pressure,1000.0,115.0,13.0,20.1,True
2026-08-30 03:00:00+02:00,pressure,975.0,333.0,231.0,19.4,True
2026-08-30 03:00:00+02:00,pressure,950.0,557.0,455.0,17.7,True
2026-08-30 03:00:00+02:00,pressure,925.0,784.23,682.23,16.2,True
2026-08-30 03:00:00+02:00,pressure,900.0,1016.63,914.63,14.7,True
2026-08-30 03:00:00+02:00,pressure,850.0,1498.0,1396.0,11.7,True
2026-08-30 04:00:00+02:00,surface,,104.0,2.0,19.4,True
2026-08-30 04:00:00+02:00,pressure,1000.0,115.0,13.0,19.7,True
2026-08-30 04:00:00+02:00,pressure,975.0,334.0,232.0,19.1,True
2026-08-30 04:00:00+02:00,pressure,950.0,557.0,455.0,17.3,True
2026-08-30 04:00:00+02:00,pressure,925.0,784.0,682.0,15.9,True
2026-08-30 04:00:00+02:00,pressure,900.0,1016.15,914.15,14.5,True
2026-08-30 04:00:00+02:00,pressure,850.0,1497.0,1395.0,11.7,True
2026-08-30 05:00:00+02:00,surface,,104.0,2.0,19.8,True
2026-08-30 05:00:00+02:00,pressure,1000.0,116.0,14.0,20.1,True
2026-08-30 05:00:00+02:00,pressure,975.0,334.0,232.0,19.3,True
2026-08-30 05:00:00+02:00,pressure,950.0,557.0,455.0,17.3,True
