time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,temperature_100m_agl,deltaT_100m_model_K,temperature_200m_agl,deltaT_200m_model_K,temperature_500m_agl,deltaT_500m_model_K,inversion_index,surface_temperature_obs,dwd_temperature_obs,surface_temperature_for_profile,surface_temperature_source,surface_temp_bias_K,deltaT_100m_surface_K,deltaT_200m_surface_K,deltaT_500m_surface_K,inversion_index_corrected,surface_correction_used,local_stratification_index,local_max_gradient_K_per_100m,local_positive_deltaT_K,local_inversion_depth_m,local_surface_measured,local_inverted_layer_count,local_strongest_layer,local_profile_top_m,local_profile_point_count
2026-08-30 00:00:00+02:00,20.3,1001.8,2.4,182,94,20.7,117.0,3.01,184,20.3,336.0,9.65,219,18.7,560.0,10.82,229,16.8,787.7,12.18,232,14.9,1020.58,13.57,235,11.2,1503.0,16.41,239,0.0,0.0,0.0,17.0,20.548401826484017,0.24840182648401665,20.365753424657534,0.06575342465753309,18.366227492314447,-1.9337725076855534,0.0,,,20.3,model_2m,,0.24840182648401665,0.06575342465753309,-1.9337725076855534,0.0,False,0.0,0.0,0.0,0.0,False,0,keine,460.0,3
2026-08-30 01:00:00+02:00,19.7,1001.8,2.5,178,96,20.0,117.0,3.1,178,20.4,336.0,11.38,218,18.6,560.0,14.18,229,16.8,787.46,14.7,234,15.1,1020.1,15.32,238,11.7,1502.0,16.77,246,0.18264840182648337,219.0,0.3999999999999986,17.0,20.151598173515982,0.45159817351598264,20.334246575342465,0.6342465753424662,18.2834608282775,-1.4165391717224978,0.8133554033485523,,,19.7,model_2m,,0.45159817351598264,0.6342465753424662,-1.4165391717224978,0.8133554033485523,False,2.7386538461538446,0.29914529914529886,0.6999999999999993,234.0,False,1,Boden-975hPa,460.0,3
2026-08-30 02:00:00+02:00,20.4,1001.7,2.6,182,93,20.6,116.0,3.0,182,19.8,334.0,9.78,216,17.8,558.0,13.23,231,16.3,785.46,14.15,237,14.8,1018.1,15.22,243,11.8,1500.0,17.65,251,0.0,0.0,0.0,16.0,20.291743119266055,-0.10825688073394346,19.924770642201835,-0.4752293577981632,17.523028224742813,-2.8769717752571857,0.0,21.0,21.0,21.0,measured,0.6000000000000014,-0.7082568807339449,-1.0752293577981646,-3.476971775257187,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,458.0,3
2026-08-30 03:00:00+02:00,19.9,1001.5,2.4,182,46,20.1,115.0,2.8,182,19.4,333.0,8.73,210,17.7,557.0,12.48,227,16.2,784.23,13.34,234,14.7,1016.63,14.38,241,11.7,1498.0,16.89,251,0.0,0.0,0.0,15.0,19.827064220183487,-0.07293577981651111,19.505963302752292,-0.3940366972477065,17.416146635567486,-2.4838533644325125,0.0,20.883333333333333,20.883333333333333,20.883333333333333,measured,0.9833333333333343,-1.0562691131498454,-1.3773700305810408,-3.4671866977658468,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,457.0,3
2026-08-30 04:00:00+02:00,19.4,1001.6,2.61,184,34,19.7,115.0,3.01,186,19.1,334.0,10.63,218,17.3,557.0,12.3,234,15.9,784.0,12.85,240,14.5,1016.15,13.54,245,11.7,1497.0,15.23,255,0.0,0.0,0.0,15.0,19.46712328767123,0.0671232876712331,19.193150684931506,-0.20684931506849225,17.034801762114537,-2.365198237885462,0.0,21.05,21.05,21.05,measured,1.6500000000000021,-1.582876712328769,-1.8568493150684944,-4.015198237885464,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,457.0,3
2026-08-30 05:00:00+02:00,19.8,1001.6,2.5,196,73,20.1,116.0,3.04,197,19.3,334.0,10.51,217,17.3,557.0,11.19,228,15.7,783.77,12.06,237,14.1,1015.67,13.2,245,11.0,1496.0,16.03,256,0.0,0.0,0.0,16.0,19.791743119266055,-0.008256880733945593,19.424770642201835,-0.37522935779816535,16.996608898884332,-2.8033911011156682,0.0,20.966666666666665,20.966666666666665,20.966666666666665,measured,1.1666666666666643,-1.17492354740061,-1.5418960244648297,-3.9700577677823325,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,457.0,3
2026-08-30 06:00:00+02:00,19.5,1001.7,2.75,190,68,19.7,117.0,3.26,191,18.8,335.0,10.61,212,17.1,558.0,11.64,227,15.5,784.53,12.34,234,13.8,1016.2,13.23,241,10.6,1496.0,15.45,252,0.0,0.0,0.0,17.0,19.357339449541286,-0.1426605504587144,18.944495412844038,-0.5555045871559621,16.803350549596082,-2.6966494504039176,0.0,20.633333333333333,20.633333333333333,20.633333333333333,measured,1.1333333333333329,-1.2759938837920473,-1.688837920489295,-3.8299827837372504,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,458.0,3
2026-08-30 07:00:00+02:00,19.1,1002.2,3.08,193,58,19.4,120.0,3.93,195,18.4,338.0,11.16,215,16.8,560.0,11.65,228,15.2,786.53,12.34,238,13.7,1018.2,13.31,246,10.6,1498.0,15.89,259,0.0,0.0,0.0,20.0,19.03302752293578,-0.0669724770642226,18.574311926605503,-0.5256880733944982,16.51747671390103,-2.582523286098972,0.0,20.45,20.45,20.45,measured,1.3499999999999979,-1.4169724770642205,-1.875688073394496,-3.93252328609897,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,460.0,3
2026-08-30 08:00:00+02:00,20.3,1001.5,3.07,199,84,20.4,114.0,3.38,199,18.8,332.0,9.25,214,17.0,555.0,11.49,235,15.3,781.3,12.75,242,13.6,1012.72,14.18,248,10.1,1492.0,17.41,257,0.0,0.0,0.0,14.0,19.76880733944954,-0.5311926605504595,19.0348623853211,-1.265137614678899,16.661953159522756,-3.6380468404772444,0.0,21.233333333333334,21.233333333333334,21.233333333333334,measured,0.9333333333333336,-1.4645259938837931,-2.1984709480122326,-4.571380173810578,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,455.0,3
2026-08-30 09:00:00+02:00,21.2,1002.4,3.49,204,99,20.9,121.0,4.39,204,18.7,340.0,8.22,214,16.7,562.0,10.11,226,15.0,788.53,11.51,237,13.3,1020.19,13.18,244,10.0,1500.0,17.04,255,0.0,0.0,0.0,21.0,20.106392694063924,-1.0936073059360751,19.101826484018265,-2.0981735159817347,16.41482805809385,-4.78517194190615,0.0,22.316666666666666,22.316666666666666,22.316666666666666,measured,1.1166666666666671,-2.2102739726027423,-3.214840182648402,-5.901838608572817,0.0,True,0.0,0.0,0.0,0.0,True,0,keine,462.0,4
