time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa
2026-08-30 00:00:00+02:00,20.3,1001.8,2.4,182,94,20.7,117.0,3.01,184,20.3,336.0,9.65,219,18.7,560.0,10.82,229,16.8,787.7,12.18,232,14.9,1020.58,13.57,235,11.2,1503.0,16.41,239
2026-08-30 01:00:00+02:00,19.7,1001.8,2.5,178,96,20.0,117.0,3.1,178,20.4,336.0,11.38,218,18.6,560.0,14.18,229,16.8,787.46,14.7,234,15.1,1020.1,15.32,238,11.7,1502.0,16.77,246
2026-08-30 02:00:00+02:00,20.4,1001.7,2.6,182,93,20.6,116.0,3.0,182,19.8,334.0,9.78,216,17.8,558.0,13.23,231,16.3,785.46,14.15,237,14.8,1018.1,15.22,243,11.8,1500.0,17.65,251
2026-08-30 03:00:00+02:00,19.9,1001.5,2.4,182,46,20.1,115.0,2.8,182,19.4,333.0,8.73,210,17.7,557.0,12.48,227,16.2,784.23,13.34,234,14.7,1016.63,14.38,241,11.7,1498.0,16.89,251
2026-08-30 04:00:00+02:00,19.4,1001.6,2.61,184,34,19.7,115.0,3.01,186,19.1,334.0,10.63,218,17.3,557.0,12.3,234,15.9,784.0,12.85,240,14.5,1016.15,13.54,245,11.7,1497.0,15.23,255
2026-08-30 05:00:00+02:00,19.8,1001.6,2.5,196,73,20.1,116.0,3.04,197,19.3,334.0,10.51,217,17.3,557.0,11.19,228,15.7,783.77,12.06,237,14.1,1015.67,13.2,245,11.0,1496.0,16.03,256
2026-08-30 06:00:00+02:00,19.5,1001.7,2.75,190,68,19.7,117.0,3.26,191,18.8,335.0,10.61,212,17.1,558.0,11.64,227,15.5,784.53,12.34,234,13.8,1016.2,13.23,241,10.6,1496.0,15.45,252
2026-08-30 07:00:00+02:00,19.1,1002.2,3.08,193,58,19.4,120.0,3.93,195,18.4,338.0,11.16,215,16.8,560.0,11.65,228,15.2,786.53,12.34,238,13.7,1018.2,13.31,246,10.6,1498.0,15.89,259
2026-08-30 08:00:00+02:00,20.3,1001.5,3.07,199,84,20.4,114.0,3.38,199,18.8,332.0,9.25,214,17.0,555.0,11.49,235,15.3,781.3,12.75,242,13.6,1012.72,14.18,248,10.1,1492.0,17.41,257
2026-08-30 09:00:00+02:00,21.2,1002.4,3.49,204,99,20.9,121.0,4.39,204,18.7,340.0,8.22,214,16.7,562.0,10.11,226,15.0,788.53,11.51,237,13.3,1020.19,13.18,244,10.0,1500.0,17.04,255
2026-08-30 10:00:00+02:00,22.1,1002.9,3.74,236,78,21.7,126.0,5.05,236,19.6,345.0,9.1,240,17.4,568.0,10.44,242,15.5,794.53,11.29,243,13.6,1026.19,12.15,243,9.9,1506.0,13.87,243
2026-08-30 11:00:00+02:00,23.3,1003.3,4.52,245,69,22.5,129.0,6.08,245,20.1,348.0,9.13,244,17.8,572.0,9.62,243,15.8,798.53,9.9,243,13.9,1030.19,10.19,243,9.9,1510.0,10.76,242
2026-08-30 12:00:00+02:00,24.3,1002.7,4.61,246,96,23.6,125.0,5.91,246,21.0,344.0,9.27,245,18.8,568.0,9.86,245,16.6,795.0,9.93,245,14.5,1027.15,10.0,244,10.1,1508.0,10.13,244
2026-08-30 13:00:00+02:00,25.2,1002.4,4.1,236,15,24.3,122.0,4.96,236,21.6,342.0,7.3,238,19.4,567.0,7.8,240,17.2,794.23,8.26,243,15.0,1026.63,8.74,245,10.5,1508.0,9.73,249
2026-08-30 14:00:00+02:00,26.0,1002.3,4.0,238,100,25.0,120.0,4.58,238,22.3,341.0,6.97,240,20.0,566.0,7.51,241,17.7,793.93,7.79,243,15.4,1027.06,8.08,244,10.7,1510.0,8.68,247
2026-08-30 15:00:00+02:00,26.0,1002.2,3.35,253,100,25.2,120.0,3.76,253,22.5,341.0,5.7,251,20.3,566.0,6.29,250,18.0,794.16,7.13,249,15.7,1027.53,7.98,249,11.2,1511.0,9.66,248
2026-08-30 16:00:00+02:00,26.1,1002.1,3.64,254,100,25.6,119.0,4.18,253,23.1,340.0,6.65,252,20.8,565.0,7.04,251,18.5,793.4,7.33,250,16.2,1027.01,7.63,249,11.7,1511.0,8.23,247
2026-08-30 17:00:00+02:00,25.8,1001.7,2.98,230,100,25.5,115.0,3.28,232,23.2,337.0,5.7,233,21.0,562.0,6.18,235,18.7,790.63,6.51,238,16.5,1024.49,6.86,240,11.9,1509.0,7.59,244
2026-08-30 18:00:00+02:00,25.1,1001.7,3.18,226,100,24.9,115.0,3.61,226,22.8,337.0,6.41,231,20.5,562.0,6.86,235,18.2,790.4,7.28,241,16.0,1024.01,7.79,247,11.6,1508.0,9.0,256
2026-08-30 19:00:00+02:00,24.7,1001.5,2.46,243,95,24.7,114.0,2.68,243,22.6,335.0,6.17,241,20.5,561.0,6.55,240,18.2,789.4,6.83,240,16.0,1023.01,7.12,239,11.6,1507.0,7.69,237
2026-08-30 20:00:00+02:00,23.3,1001.4,1.04,253,74,23.6,113.0,1.24,256,22.3,334.0,4.18,247,20.2,559.0,4.67,241,18.0,787.17,5.25,238,15.9,1020.53,5.84,236,11.6,1504.0,7.04,232
2026-08-30 21:00:00+02:00,22.4,1001.6,0.41,194,100,22.9,115.0,0.58,211,22.0,336.0,3.9,230,19.9,560.0,3.98,232,17.9,788.4,5.47,236,15.9,1022.01,6.98,239,11.8,1506.0,10.02,242
2026-08-30 22:00:00+02:00,21.5,1001.8,0.95,162,97,22.0,117.0,1.24,166,21.8,337.0,4.17,215,19.7,562.0,4.15,217,17.8,789.93,5.57,228,15.8,1023.06,7.12,234,11.8,1506.0,10.37,242
2026-08-30 23:00:00+02:00,21.1,1001.8,0.63,162,100,21.4,117.0,0.73,164,21.2,336.0,3.05,215,19.5,561.0,3.73,224,17.4,788.93,4.73,228,15.4,1022.05,5.74,231,11.2,1505.0,7.8,234
