time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,temperature_100m_agl,deltaT_100m_model_K,temperature_200m_agl,deltaT_200m_model_K,temperature_500m_agl,deltaT_500m_model_K,inversion_index,surface_temperature_obs,dwd_temperature_obs,surface_temperature_for_profile,surface_temperature_source,surface_temp_bias_K,inversion_index_corrected,surface_correction_used,deltaT_100m_surface_K,deltaT_200m_surface_K,deltaT_500m_surface_K,local_stratification_index,local_max_gradient_K_per_100m,local_positive_deltaT_K,local_inversion_depth_m,local_surface_measured,local_inverted_layer_count,local_strongest_layer,local_profile_top_m,local_profile_point_count
2026-09-19 00:00:00+02:00,11.3,1007.5,1.36,163,3,14.8,165.0,3.5,182,15.6,380.0,5.88,261,14.2,599.0,7.56,276,12.3,822.96,7.83,272,10.5,1051.94,8.13,269,6.8,1526.0,8.79,263,5.555555555555555,278.0,4.299999999999999,65.0,14.930232558139535,3.630232558139534,15.30232558139535,4.002325581395349,14.191516342203965,2.891516342203964,4.667000000000001,,,11.3,model_2m,,4.667000000000001,False,3.630232558139534,4.002325581395349,2.891516342203964,4.926666666666667,5.555555555555555,4.299999999999999,278.0,False,2,Boden-1000hPa,499.0,4
2026-09-19 01:00:00+02:00,11.1,1007.9,1.7,177,88,14.7,168.0,4.7,182,15.3,383.0,5.35,248,14.2,602.0,6.67,268,12.3,825.73,6.9,268,10.4,1054.46,7.14,268,6.5,1528.0,7.6,267,5.454545454545454,281.0,4.200000000000001,68.0,14.789302325581394,3.6893023255813944,15.068372093023257,3.968372093023257,14.210045662100455,3.1100456621004557,4.671500000000001,,,11.1,model_2m,,4.671500000000001,False,3.6893023255813944,3.968372093023257,3.1100456621004557,4.936666666666667,5.454545454545454,4.200000000000001,281.0,False,2,Boden-1000hPa,502.0,4
2026-09-19 02:00:00+02:00,10.4,1008.0,1.73,170,0,13.7,169.0,5.49,170,14.9,383.0,4.87,232,13.9,603.0,6.66,260,12.0,826.49,6.96,260,10.1,1054.99,7.26,260,6.4,1528.0,7.85,260,4.925373134328356,281.0,4.5,69.0,13.873831775700934,3.4738317757009334,14.434579439252337,4.034579439252337,13.913636363636364,3.5136363636363637,4.671500000000001,,,10.4,model_2m,,4.671500000000001,False,3.4738317757009334,4.034579439252337,3.5136363636363637,4.936666666666667,4.925373134328356,4.5,281.0,False,2,Boden-1000hPa,503.0,4
2026-09-19 03:00:00+02:00,10.7,1008.0,2.1,183,82,13.3,168.0,6.13,174,14.6,382.0,5.99,210,13.6,601.0,6.4,245,11.7,824.5,6.64,249,9.9,1052.99,6.9,252,6.2,1526.0,7.5,258,3.9393939393939417,280.0,3.9000000000000004,68.0,13.494392523364487,2.794392523364488,14.101869158878504,3.4018691588785046,13.604566210045661,2.9045662100456617,4.6325,,,10.7,model_2m,,4.6325,False,2.794392523364488,3.4018691588785046,2.9045662100456617,4.933333333333334,3.9393939393939417,3.9000000000000004,280.0,False,2,Boden-1000hPa,501.0,4
2026-09-19 04:00:00+02:00,10.8,1008.3,2.11,185,51,12.7,171.0,5.9,179,14.8,384.0,7.54,217,13.7,604.0,6.74,241,11.7,827.49,7.04,246,9.8,1055.98,7.38,250,5.9,1529.0,8.17,257,2.753623188405795,282.0,4.0,71.0,12.985915492957746,2.1859154929577453,13.971830985915492,3.1718309859154914,13.719999999999999,2.919999999999998,4.673,,,10.8,model_2m,,4.673,False,2.1859154929577453,3.1718309859154914,2.919999999999998,4.9399999999999995,2.753623188405795,4.0,282.0,False,2,Boden-1000hPa,504.0,4
2026-09-19 05:00:00+02:00,10.3,1009.0,2.0,177,9,12.6,178.0,5.94,173,14.7,391.0,6.09,223,13.5,610.0,5.71,250,11.6,833.49,6.23,253,9.7,1061.98,6.76,256,5.9,1535.0,7.85,260,3.0263157894736827,289.0,4.399999999999999,78.0,12.816901408450704,2.5169014084507033,13.80281690140845,3.5028169014084494,13.554794520547945,3.2547945205479447,4.6835,,,10.3,model_2m,,4.6835,False,2.5169014084507033,3.5028169014084494,3.2547945205479447,4.963333333333334,3.0263157894736827,4.399999999999999,289.0,False,2,Boden-1000hPa,510.0,4
2026-09-19 06:00:00+02:00,10.5,1008.8,2.4,178,41,12.3,176.0,6.66,172,14.5,389.0,7.13,216,13.4,608.0,6.41,235,11.6,831.26,6.81,242,9.8,1059.51,7.31,249,6.2,1532.0,8.51,259,2.4324324324324333,287.0,4.0,76.0,12.547887323943662,2.0478873239436624,13.58075117370892,3.0807511737089204,13.440182648401827,2.9401826484018265,4.6805,,,10.5,model_2m,,4.6805,False,2.0478873239436624,3.0807511737089204,2.9401826484018265,4.956666666666667,2.4324324324324333,4.0,287.0,False,2,Boden-1000hPa,508.0,4
2026-09-19 07:00:00+02:00,10.7,1009.1,2.71,176,64,12.1,178.0,7.27,172,14.4,391.0,8.19,215,13.6,610.0,7.22,226,11.8,833.49,6.95,236,10.0,1061.98,6.9,246,6.5,1535.0,7.49,266,1.8421052631578954,289.0,3.700000000000001,78.0,12.337558685446009,1.6375586854460096,13.417370892018779,2.7173708920187796,13.636529680365296,2.9365296803652967,4.571000000000001,,,10.7,model_2m,,4.571000000000001,False,1.6375586854460096,2.7173708920187796,2.9365296803652967,4.963333333333334,1.8421052631578954,3.700000000000001,289.0,False,2,Boden-1000hPa,510.0,4
2026-09-19 08:00:00+02:00,11.3,1009.6,2.4,180,76,11.8,181.0,6.62,176,14.1,394.0,7.53,214,13.5,613.0,7.39,229,11.9,836.49,7.09,241,10.3,1064.98,7.1,253,7.1,1538.0,8.0,275,1.0798122065727696,292.0,2.799999999999999,81.0,12.005164319248827,0.7051643192488264,13.084976525821597,1.7849765258215964,13.535616438356165,2.235616438356164,3.4676557120500773,,,11.3,model_2m,,3.4676557120500773,False,0.7051643192488264,1.7849765258215964,2.235616438356164,4.973333333333334,1.0798122065727696,2.799999999999999,292.0,False,2,1000hPa-975hPa,513.0,4
2026-09-19 09:00:00+02:00,13.0,1009.5,3.31,175,34,12.0,182.0,5.74,173,14.1,395.0,8.09,211,13.5,614.0,7.6,225,12.0,837.49,7.21,236,10.5,1065.98,7.11,248,7.6,1539.0,7.85,271,0.9859154929577464,213.0,2.0999999999999996,82.0,12.177464788732394,-0.8225352112676063,13.163380281690142,0.16338028169014152,13.538356164383561,0.5383561643835613,2.9145117370892013,,,13.0,model_2m,,2.9145117370892013,False,-0.8225352112676063,0.16338028169014152,0.5383561643835613,4.71,0.9859154929577464,2.0999999999999996,213.0,False,1,1000hPa-975hPa,514.0,4
